Date,Close
1/28/2013 16:00:00,12815.91
1/29/2013 16:00:00,12830.56
1/30/2013 16:00:00,12794.44
1/31/2013 16:00:00,12685.24
2/1/2013 16:00:00,12768.83
2/4/2013 16:00:00,12717.62
2/5/2013 16:00:00,12745.65
2/6/2013 16:00:00,12761.59
2/7/2013 16:00:00,12755.92
2/8/2013 16:00:00,12801.23
2/11/2013 16:00:00,12748.15
2/12/2013 16:00:00,12789.02
2/13/2013 16:00:00,12775.28
2/14/2013 16:00:00,12721.79
2/15/2013 16:00:00,12686.63
2/19/2013 16:00:00,12810.21
2/20/2013 16:00:00,12714.05
2/21/2013 16:00:00,12639.97
2/22/2013 16:00:00,12701.63
2/25/2013 16:00:00,12650.87
2/26/2013 16:00:00,12660.44
2/27/2013 16:00:00,12732.39
2/28/2013 16:00:00,12821.83
3/1/2013 16:00:00,12773.12
3/4/2013 16:00:00,12707.41
3/5/2013 16:00:00,12736.04
3/6/2013 16:00:00,12831.96
3/7/2013 16:00:00,12826.52
3/8/2013 16:00:00,12835.61
3/11/2013 16:00:00,12858.49
3/12/2013 16:00:00,12878.58
3/13/2013 16:00:00,12744.11
3/14/2013 16:00:00,12799.91
3/15/2013 16:00:00,12830.03
3/18/2013 16:00:00,12781.76
3/19/2013 16:00:00,12773.87
3/20/2013 16:00:00,12826.55
3/21/2013 16:00:00,12747.87
3/22/2013 16:00:00,12757.35
3/25/2013 16:00:00,12680.71
3/26/2013 16:00:00,12706.38
3/27/2013 16:00:00,12699.65
3/28/2013 16:00:00,12749.9
4/1/2013 16:00:00,12695.14
4/2/2013 16:00:00,12682.1
4/3/2013 16:00:00,12422.12
4/4/2013 16:00:00,12363.05
4/5/2013 16:00:00,12331.85
4/8/2013 16:00:00,12344.56
4/9/2013 16:00:00,12484.05
4/10/2013 16:00:00,12534.91
4/11/2013 16:00:00,12481.37
4/12/2013 16:00:00,12337.59
4/15/2013 16:00:00,12004.88
4/16/2013 16:00:00,12119.92
4/17/2013 16:00:00,11947.29
4/18/2013 16:00:00,11996.34
4/19/2013 16:00:00,12065.55
4/22/2013 16:00:00,12090.68
4/23/2013 16:00:00,12090.94
4/24/2013 16:00:00,12270.43
4/25/2013 16:00:00,12329.51
4/26/2013 16:00:00,12220.2
4/29/2013 16:00:00,12312.67
4/30/2013 16:00:00,12456.5
5/1/2013 16:00:00,12321.29
5/2/2013 16:00:00,12379.64
5/3/2013 16:00:00,12438.03
5/6/2013 16:00:00,12453.92
5/7/2013 16:00:00,12464.11
5/8/2013 16:00:00,12585.05
5/9/2013 16:00:00,12543.9
5/10/2013 16:00:00,12589.09
5/13/2013 16:00:00,12529.55
